plant,unstudied_count,studied_count,well_studied_count,total_claims,gap_pct,unstudied_diseases,top_studied
Sida rhombifolia,21,5,0,26,80.8,Abdomen; Abortive; Aphrodisiac; Boil; Chickenpox; Constipation; Cramps; Delirium; Dysmenorrhea; Enterosis; Fracture; Ache(Head); Ophthalmia; Sty; Swelling,Tuberculosis (1); Tumor (1); Wound (1); Fever (2); Rheumatism (1)
Hydrocotyle asiatica,20,2,0,22,90.9,Asthma; Depurative; Fever; Hematuria; Hepatosis; Hysteria; Otosis; Piles; Rheumatism; Sore; Urethritis; Vertigo; Wound; Diuretic; Bronchitis,Dysentery (1); Leprosy (1)
Nigella sativum,20,0,0,20,100.0,Abdomen; Amenorrhea; Colic; Constipation; Debility; Hepatomegaly; Ophthalmia; Parturition; Rheumatism; Vertigo; Chest; Herpes; Panacea; Sapraemia; Fever,
Musa sapientum,19,3,0,22,86.4,Blister; Catarrh; Circumscission; Colitis; Dengue; Dysuria; Enteritis; Enterorrhagia; Epistaxis; Fever(Remittent); Hemostat; Metrorrhagia; Parturition; Pharyngitis; Piles,Diarrhea (5); Dysentery (2); Fever (1)
Sophora tomentosa,18,0,0,18,100.0,Cholera; Colic; Diarrhea; Dysentery; Dysuria; Food poisoning; Gonorrhea; Hematuria; Hemoptysis; Panacea; Pyuria; Stomach; Swelling; Abdomen; Antidote(Fish poison),
Moringa oleifera,17,4,0,21,81.0,Beriberi; Dermatosis; Dropsy; Drunkenness; Emmenagogue; Expectorant; Gonorrhea; Ache(Head); Lactafuge; Lameness; Numbness; Syphilis; Tremors; Vermifuge; Emetic,Abortive (1); Diuretic (9); Parturition (4); Fever (13)
Gendarussa vulgaris,16,0,0,16,100.0,Amenorrhea; Cough; Debility; Fever; Gastrosis; Gonorrhea; Ache(Head); Lunacy; Malaria; Myalgia; Renosis; Rheumatism; Bite(Snake); Swelling; Thrush,
Zingiber cassumunar,16,1,0,17,94.1,Anodyne; Colic; Constipation; Fever; Flatulence; Gonorrhea; Ache(Head); Jaundice; Malaria; Parturition; Ache(Stomach); Abdomen; Cramps; Spice; Vermifuge,Cosmetic (1)
Urena lobata,16,1,0,17,94.1,Anodyne; Colic; Diarrhea; Dysentery; Emollient; Fever; Gonorrhea; Ache(Head); Hematochezia; Hemostat; Inflammation; Sore; Yaws; Abdomen; Bladder,Intestine (1)
Morinda citrifolia,15,7,1,22,68.2,Beriberi; Chest; Colic; Convulsion; Cough; Dysuria; Emmenagogue; Leukorrhea; Sapraemia; Splenomegaly; Abdomen; Smallpox; Ague; Hepatosis; Sore,Diabetes (29); Diarrhea (3); Laxative (1); Shampoo (1); Swelling (4)
Datura metel,14,3,0,17,82.4,Arthritis; Boil; Cholera; Earache; Erysipelas; Orchitis; Piles; Ringworm; Smallpox; Sore(Throat); Splenomegaly; Swelling; Syphilis; Vermifuge,Anodyne (1); Dermatosis (1); Rheumatism (1)
Sesbania grandiflora,14,4,0,18,77.8,Edema; Emetic; Enterosis; Gastrosis; Leucorrhea; Scabies; Stomatitis; Glossitis; Sore(Throat); Aperient; Bruise; Sprue; Thrush; Tonsillitis,Cosmetic (1); Dysentery (2); Tonic (2); Diarrhea (1)
Piper betle,14,4,0,18,77.8,Abscess; Earache; Epistaxis; Gonorrhea; Hoarseness; Lactafuge; Leucorrhea; Mucositis; Otosis; Parturition; Pimple; Sore; Ache(Tooth); Itch,Antiseptic (4); Gingivitis (1); Halitosis (3); Stimulant (5)
Mimusops elengi,13,1,0,14,92.9,Dermatosis; Diarrhea; Fever; Ache(Head); Leukorrhea; Ophthalmia; Pimple; Pyorrhea; Rhinosis; Sprue; Stomatosis; Sore(Throat); Thrush,Gingivitis (3)
Wedelia biflora,13,1,0,14,92.9,Bugbite; Dermatosis; Diuretic; Gonorrhea; Gravel; Itch; Purgative; Sore; Swelling; Vaginitis; Varicosity; Emmenagogue; Hematuria,Wound (1)
Blumea balsamifera,13,4,0,17,76.5,Angina; Beriberi; Fumitory; Ache(Head); Lumbago; Menorrhagia; Piscicide; Splenomegaly; Ache(Stomach); Stomachic; Sudorific; Depurative; Vermifuge,Fever (3); Malaria (1); Parturition (1); Rheumatism (3)
Piper retrofractum,13,1,0,14,92.9,Cancer(Nose); Colic; Dyspepsia; Inertia; Osteosis; Puerperium; Weakness; Stomach; Cramps; Digestive; Gastralgia; Hepatosis; Tonic,Spice (3)
Chloranthus officinalis,13,0,0,13,100.0,Ankle; Anodyne; Burn; Cramps; Fever; Knee; Parturition; Smallpox; Sore; Typhus (Typhoid); Arthritis; Tea; Gonorrhea,
Phyllanthus urinaria,13,1,0,14,92.9,Cough; Dermatosis; Diuretic; Gonorrhea; Miscarriage; Syphilis; Glossitis; Piscicide; Sting(Caterpillar); Diarrhea; Itch; Renosis; Vertigo,Ache(Stomach) (1)
Pterocarpus santalinus,12,1,0,13,92.3,Arrhythmia; Diuretic; Hematochezia; Hematuria; Hemoptysis; Rheumatism; Yaws; Antidote; Diarrhea; Leucorrhea; Sprue; Ache(Stomach),Fever (1)
Coleus atropurpureus,12,0,0,12,100.0,Adenopathy; Cold; Colic; Conjunctivitis; Diarrhea; Dysmenorrhea; Hepatosis; Piles; Contraceptive; Deafness; Diuretic; Smallpox,
Tinospora tuberculata,12,0,0,12,100.0,Cholera; Diabetes; Emetic; Fever; Ophthalmia; Smallpox; Sore; Syphilis; Vermifuge; Ague; Bite(Snake); Wound,
Piper fragile,12,0,0,12,100.0,Abdomen; Abscess; Arthritis?; Colic; Cramps; Fever; Gonorrhea; Gravel; Jaundice; Pleurisy; Vermifuge; Frambesia,
Dryobalanops aromatica,12,0,0,12,100.0,Asthma; Cancer(Nose); Cough; Gastralgia; Ache(Head); Rhinosis; Ringworm; Sore; Ache(Tooth); Ophthalmia; Sprue; Conjunctivitis,
Fagraea racemosa,12,0,0,12,100.0,Anodyne; Dropsy; Fever; Loin; Miscarriage; Rheumatism; Rhinosis; Sciatica; Tonic; Toothblack; Cough; Sore,
Myristica fragrans,12,5,1,17,70.6,Carminative; Gastromegaly; Leprosy; Osteosis; Parturition; Sciatica; Thrush; Impotence; Insanity; Abdomen; Anodyne; Cramps,Dyspepsia (4); Perfume (1); Rheumatism (2); Spice (44); Malaria (4)
Lawsonia inermis,12,1,0,13,92.3,Boil; Dermatosis; Herpes; Leucorrhea; Onychosis; Ophthalmia; Circumscission; Parturition; Venereal; Whitlow; Burning-feet; Hoarseness,Rheumatism (1)
Crinum asiaticum,12,3,0,15,80.0,Anodyne; Antidote(Poison arrow); Chafing; Dysuria; Emetic; Ache(Head); Lumbago; Orchitis; Sore; Tumor(Stomach); Yaws (Preventive); Swelling,Edema (1); Fever (1); Wound (1)
Hedyotis capitellata,12,0,0,12,100.0,Ague; Bruise; Dysentery; Fracture; Lumbago; Parturition; Bite(Snake); Wart; Gastrosis; Heartburn; Rheumatism; Vertigo,
Averrhoa bilimbi,12,2,0,14,85.7,Beriberi; Bilious; Itch; Mumps; Ophthalmia; Osteosis; Pimple; Proctitis; Swelling; Thrush; Diaphoretic; Rheumatism,Cough (1); Syphilis (1)
Pangium edule,11,1,0,12,91.7,Antiseptic; Arrow-poison; Artemicide; Homocide; Piscicide; Scurf; Wound; Leprosy; Boil; Vermifuge; Itch,Poison (1)
Hibiscus rosa-sinensis,11,7,0,18,61.1,Bronchitis; Carbuncle; Gonorrhea; Labor; Ophthalmia; Purgative; Eye; Adenopathy; Dysmenorrhea; Expectorant; Hairblack,Abortifacient (6); Cancer (14); Fever (3); Swelling (2); Tumor (3)
Phyllanthus niruri,11,5,0,16,68.8,Sting(Caterpillar); Dermatosis; Emmenagogue; Gonorrhea; Piscicide; Renosis; Ache(Stomach); Vertigo; Itch; Miscarriage; Syphilis,Cough (1); Diarrhea (2); Diuretic (6); Fever (3); Tonic (2)
Ceiba pentandra,11,2,0,13,84.6,Catarrh; Diuretic; Hoarseness; Parturition; Shampoo; Urethritis; Bladder; Cough; Emetic; Gravel; Syphilis,Asthma (1); Fever (1)
Euphorbia tirucalli,11,2,1,13,84.6,Fracture; Leprosy; Ostealgia; Osteosis; Piscicide; Scurf; Swelling; Thorn; Dermatosis; Piles; Rhinosis,Wound (3); Cancer (32)
Alstonia scholaris,11,6,0,17,64.7,Antidote(Antiaris); Beriberi; Boil; Dyschezia; Enterosis; Piles; Poison(Arrow); Ache(Tooth); Vermifuge; Hepatosis; Panacea,Cough (8); Diabetes (5); Fever (1); Nausea (1); Tonic (1)
Cocos nucifera,11,7,0,18,61.1,Colitis; Culifuge; Enterosis; Gonorrhea; Intoxicant; Rheumatism; Ache(Stomach); Smallpox; Osteosis; Piles; Syphilis,Astringent (2); Diuretic (2); Dysentery (2); Fever (3); Intestine (5)
Paederia foetida,11,1,0,12,91.7,Diuretic; Enteromegaly; Enterosis; Flatulence; Rhinosis; Sapraemia; Sore; Ache(Tooth); Toothblack; Intestine; Gastromegaly,Tumor (4)
Cordyline fruticosa,11,1,0,12,91.7,Ague; Arthritis; Dermatosis; Dysentery; Dyspepsia; Gingivitis; Insanity; Piscifuge; Smallpox; Wound; Cough,Diarrhea (1)
Gmelina villosa,10,0,0,10,100.0,Alopecia; Anemia; Cathartic; Earache; Ache(Head); Itch; Rheumatism; Swelling; Cough; Dropsy,
Leucas zeylanica,10,1,0,11,90.9,Cut; Fever; Itch; Nose; Sore; Spice; Vermifuge; Vertigo; Wound; Ache(Head),Skin (1)
Plumeria acutifolia,10,0,0,10,100.0,Corn; Dermatosis; Dysuria; Funereal; Purgative; Swelling; Gonorrhea; Sore; Ache(Tooth); Dropsy,
Parkia javanica,10,0,0,10,100.0,Cholera; Colic; Cosmetic; Cramps; Dermatosis; Dysmenorrhea; Gastromegaly; Itch; Pustule; Rhinosis,
Brucea javanica,10,3,0,13,76.9,Boil; Condyloma; Cough; Mange; Ringworm; Splenomegaly; Bite(Centipede); Colic; Rheumatism; Scurf,Diarrhea (8); Fever (6); Dysentery (11)
Michelia champaca,10,0,0,10,100.0,Angina; Fever; Halitosis; Malaria; Parturition; Rheumatism; Colic; Gonorrhea; Gravel; Ozoena,
Tinospora crispa,10,8,1,18,55.6,Dermatosis; Enterosis; Itch; Sore; Syphilis; Tetanus; Tonic; Hepatomegaly; Poison(Arrow); Splenomegaly,Diabetes (21); Diarrhea (2); Digestive (1); Jaundice (4); Rheumatism (3)
Pogostemon heyneanus,10,1,0,11,90.9,Boil; Cough; Jaundice; Wound; Ache(Head); Bilious; Dropsy; Fever; Rheumatism; Smallpox,Asthma (1)
Caesalpinia sp.,10,0,0,10,100.0,Dysmenorrhea; Hepatosis; Itch; Jaundice; Orchitis; Tapeworm; Vermifuge; Cough; Gout; Rheumatism,
Annona reticulata,10,0,0,10,100.0,Astringent; Convulsion; Diarrhea; Epilepsy; Fever; Hepatomegaly; Pediculicide; Ache(Tooth); Tonic; Boil,
Monochoria vaginalis,10,1,0,11,90.9,Boil; Bronchosis; Cough; Fever; Gastrosis; Hepatosis; Sore; Ache(Tooth); Asthma; Stomach,Liver (1)
Tacca palmata,9,0,0,9,100.0,Bite(Snake); Boil; Pimple; Stomachic; Swelling; Tonic; Tumor; Wound; Ache(Stomach),
Zingiber officinale,9,18,8,27,33.3,Gingivosis; Ache(Head); Parturition; Rhinosis; Ague; Ache(Back); Tumor(Hand); Hepatosis; Syphilis,Colic (5); Cosmetic (26); Cough (30); Gynecology (37); Intestine (43)
Areca catechu,9,4,0,13,69.2,Cornea; Gastrosis; Gonorrhea; Hematuria; Hysteria; Odontosis; Rhinosis; Scabies; Tapeworm,Colitis (2); Diarrhea (8); Fever (1); Herpes (1)
Gmelina elliptica,9,0,0,9,100.0,Ache(Ear); Ache(Head); Alopecia; Collyrium; Eye; Swelling; Wound; Cathartic; Ache(Tooth),
Strychnos ligustrina,9,0,0,9,100.0,Apertif; Bite(Snake); Depurative; Fever; Stomach; Tonic; Vermifuge; Skin; Sore,
Gastrochilus panduratum,9,0,0,9,100.0,Cough; Dysuria; Gastrosis; Myalgia; Parturition; Rheumatism; Sore(Throat); Swelling; Thrush,
Caesalpinia bonduc,9,0,0,9,100.0,Antidote; Cirrhosis; Cough; Emmenagogue; Hematochezia; Jaundice; Swelling; Vermifuge; Diarrhea,
Kleinhovia hospita,9,1,0,10,90.0,Collyrium; Cyanogenetic; Eruption; Eyesight; Pediculicide; Piscicide; Poison; Scabies; Shampoo,Skin (2)
Aleurites moluccana,9,2,0,11,81.8,Diarrhea; Ache(Head); Sprue; Ache(Stomach); Aphrodisiac; Dysentery; Sciatica; Sore; Swelling,Gonorrhea (1); Fever (4)
Rubus moluccanus,9,1,0,10,90.0,Boil; Cough; Cramps; Enterosis; Miscarriage; Pimple; Sprue; Thrush; Enuresis,Dysentery (1)
Arenga pinnata,9,0,0,9,100.0,Bladder stone; Intoxicant; Phthisis; Dysentery; Constipation; Lactagogue; Piles; Thrush; Tuberculosis,
Pterocarpus indicus,9,0,0,9,100.0,Boil; Nephritis; Prickly heat; Stomatitis; Thrush; Diarrhea; Syphilis; Shampoo; Sore,
Euchresta horsfieldii,9,0,0,9,100.0,Antidote; Aphrodisiac; Chest; Expectorant; Hematochezia; Poison; Tuberculosis; Pulmonosis; Tonic,
Piper cubeba,9,2,0,11,81.8,Aphrodisiac; Carminative; Dysentery; Enterosis; Expectorant; Gonorrhea; Panacea; Stimulant; Dyspepsia,Diuretic (1); Rheumatism (1)
Callicarpa longifolia,9,0,0,9,100.0,Colic; Fever; Gastromegaly; Parturition; Poultice; Sprue; Swelling; Syphilis; Tumor,
Dysophylla auriculata,9,0,0,9,100.0,Diarrhea; Gastrosis; Renosis; Sore(Throat); Ache(Stomach); Vermifuge; Ache(Head); Prickly heat; Rheumatism,
Casuarina equisetifolia,9,2,0,11,81.8,Beriberi; Diuretic; Dysentery; Dysmenorrhea; Pimple; Tremors; Abdomen; Cramps; Emmenagogue,Diarrhea (2); Swelling (1)
Lygodium scandens,9,0,0,9,100.0,Dermatosis; Hematemesis; Hemoptysis; Measles; Smallpox; Sprue; Thrush; Dysentery; Wound,
Melochia corchorifolia,9,0,0,9,100.0,Angina?; Anodyne; Antidote(Antiaris); Dysentery; Nausea; Smallpox; Sore; Abdomen; Dysuria,
Hibiscus abelmoschus,9,1,0,10,90.0,Cancer(Stomach); Cystitis; Diuretic; Fever; Ache(Head); Varicosity; Dysuria; Gonorrhea; Rheumatism,Cosmetic (1)
Solanum ferox,9,0,0,9,100.0,Anodyne; Fever; Itch; Labor; Spice; Syphilis; Ache(Tooth); Wound; Bruise,
Oroxylum indicum,9,5,0,14,64.3,Ache(Stomach); Cholera; Enterosis; Parturition; Swelling; Ache(Tooth); Vertigo; Gastrosis; Splenomegaly,Fever (3); Rheumatism (2); Stomach (3); Diarrhea (7); Dysentery (2)
Cyathula prostrata,9,0,0,9,100.0,Cholera; Cough; Diarrhea; Dysentery; Itch; Ringworm; Shingles; Gonorrhea; Vermifuge,
Pongamia pinnata,8,1,0,9,88.9,Antidote(Fish sting); Beriberi; Dermatosis; Emetic; Itch; Piscicide; Rheumatism; Splenomegaly,Internal (3)
Erythrina variegata,8,2,0,10,80.0,Abscess; Asthma; Cough; Fever; Bite(Snake); Ache(Tooth); Dysentery; Lactagogue,Cancer (3); Depressant (4)
Citrus aurantifolia,8,0,0,8,100.0,Cough; Dermatosis; Dysentery; Gonorrhea; Ache(Head); Neuralgia; Ache(Stomach); Yaws,
Merremia peltata,8,0,0,8,100.0,Cough; Ophthalmia; Ache(Stomach); Vermifuge; Wound; Diarrhea; Mastitis; Sore,
Morinda elliptica,8,0,0,8,100.0,Cholera; Convulsion; Fever; Parturition; Splenosis; Ache(Head); Piles; Diarrhea,
Drynaria sparsisora,8,0,0,8,100.0,Acne; Blemish; Conjunctivitis; Dropsy; Gonorrhea; Diarrhea; Freckle; Edema,
Phyllanthus pulcher,8,0,0,8,100.0,Carbuncle; Dermatosis; Itch; Renosis; Sore; Ache(Stomach); Ache(Tooth); Boil,
Quassia indica,8,0,0,8,100.0,Bruise; Emetic; Insecticide; Purgative; Rheumatism; Skin; Bilious; Fever,
Pipturus incanus,8,0,0,8,100.0,Burn; Herpes; Stomatitis; Thrush; Tinea; Pimple; Boil; Pediculifuge,
Erythrina subumbrans,8,0,0,8,100.0,Collyrium; Cough; Fever; Lactagogue; Menorrhagia; Splenomegaly; Ache(Head); Ophthalmia,
Oxalis corniculata,8,4,0,12,66.7,Conjunctivitis; Gingivitis; Itch; Scurvy; Ache(Stomach); Stomatitis; Prickly heat; Antidote(Datura),Fever (1); Wound (2); Cough (1); Dysentery (1)
Trachyspermum ammi,8,2,0,10,80.0,Apertif; Gastrosis; Hepatosis; Lunacy; Rheumatism; Sore(Throat); Panacea; Syphilis,Spice (15); Cough (1)
Ipomoea pes-caprae,8,2,0,10,80.0,Boil; Bugbite; Cramps; Sore; Swelling; Sting(Fish); Ache(Stomach); Carbuncle,Cancer (5); Wound (2)
Portulaca quadrifida,8,0,0,8,100.0,Abdomen; Boil; Diuretic; Fever; Piles; Alopecia; Abscess; Cough,
Momordica charantia,8,3,0,11,72.7,Abdomen; Burn; Ache(Head); Parturition; Scald; Sprue; Ache(Stomach); Vermifuge,Asthma (1); Dermatosis (1); Diarrhea (2)
Kadsura cauliflora,8,0,0,8,100.0,Anodyne; Cough; Dermatosis; Dysentery; Expectorant; Abdomen; Diarrhea; Dysuria,
Curanga fel-terrae,8,0,0,8,100.0,Cardiotonic; Colic; Ache(Head); Ache(Stomach); Vermifuge; Fever(Tertian); Bite(Snake); Hepatosis,
Hyptis suaveolens,8,1,0,9,88.9,Apertif; Catarrh; Dermatosis; Lactagogue; Spasm; Stimulant; Stomachic; Sudorific,Rheumatism (1)
Fibraurea chloroleuca,8,0,0,8,100.0,Ache(Head); Ophthalmia; Parturition; Rhinosis; Sore; Dysentery; Hematochezia; Diabetes,
Clerodendrum serratum,8,2,0,10,80.0,Cough; Gastromegaly; Ache(Head); Leprosy; Colic; Parturition; Ringworm; Labor,Arthritis (1); Fever (3)
Merremia mammosa,8,0,0,8,100.0,Burn; Chest; Diabetes; Dysentery; Fever; Bite(Snake); Sore(Throat); Antidote,
Melastoma malabathricum,8,2,0,10,80.0,Flatulence; Pimple; Puerperium; Smallpox; Thrush; Toothblack; Leucorrhea; Ache(Tooth),Diarrhea (2); Infection (4)
Vernonia cinerea,8,0,0,8,100.0,Colic; Cough; Diarrhea; Ache(Head); Labor; Ringworm; Vermifuge; Ache(Stomach),
Curcuma aeruginosa,8,0,0,8,100.0,Cough; Insanity; Parturition; Purgative; Scurf; Dermatosis; Scabies; Asthma,
Terminalia catappa,8,3,0,11,72.7,Anodyne; Leprosy; Purgative; Rheumatism; Sudorific; Thrush; Vermifuge; Fever,Breast (3); Dysentery (2); Gastritis (1)
Eleutherine americana,8,0,0,8,100.0,Diuretic; Dysentery; Emetic; Gynecology; Hematochezia; Jaundice; Purgative; Proctitis,
Pithecellobium jiringa,8,0,0,8,100.0,Anodyne; Dermatosis; Scabies; Ache(Tooth); Wound; Chest; Circumscission; Itch,
Ricinus communis,8,6,1,14,57.1,Ache(Head); Cancer(Stomach); Deafness; Dermatosis; Lactagogue; Sore; Sprain; Gout,Chest (3); Swelling (11); Wound (26); Rheumatism (3); Blister (5)
Uraria crinita,8,0,0,8,100.0,Diarrhea; Hepatosis; Pediculicide; Pimple; Vermifuge; Parturition; Smallpox; Splenomegaly,
Plumbago zeylanica,8,5,1,13,61.5,Abortive; Dermatosis; Emmenagogue; Ache(Head); Parturition; Ringworm; Wart; Funereal,Abortifacient (3); Leprosy (3); Rheumatism (1); Itch (1); Tumor (54)
Tamarindus indica,8,5,0,13,61.5,Abortive; Boil; Dermatosis; Itch; Sore; Sting(Caterpillar); Mucusitis; Thrush,Cosmetic (8); Fever (3); Pimple (1); Rheumatism (1); Wound (14)
Micromelum hirsutum,7,0,0,7,100.0,Anodyne; Sting(Caterpillar); Fever; Giddiness; Ostealgia; Ringworm; Leprosy,
Kaempferia galanga,7,9,0,16,43.8,Abdomen; Mastitis; Ophthalmia; Otosis; Ache(Head); Chill(Veterinary); Stimulant,Cancer (19); Cough (4); Fever (3); Malaria (4); Rheumatism (5)
Pandanus odorus,7,0,0,7,100.0,Anemia; Cosmetic; Gonorrhea; Parturition; Syphilis; Measles; Sapraemia,
Jasminum sambac,7,1,0,8,87.5,Ache(Head); Collyrium; Sapraemia; Venereal; Congestion; Dermatosis; Lactifuge,Fever (3)
Entada phaseoloides,7,3,0,10,70.0,Abdomen; Enterosis; Parturition; Piscicide; Shampoo; Soap; Watervine,Cosmetic (1); Hematochezia (1); Wound (3)
Ervatamia coronaria,7,0,0,7,100.0,Convulsion; Cough; Diarrhea; Ophthalmia; Sore; Abdomen; Rhinosis,
Pistia stratiotes,7,1,0,8,87.5,Demulcent; Sore; Ache(Head); Dysentery; Hematuria; Piles; Gonorrhea,Diuretic (1)
Barleria prionitis,7,0,0,7,100.0,Constipation; Diuretic; Dyspepsia; Rheumatism; Ringworm; Ache(Tooth); Hepatosis,
Imperata cylindrica,7,4,0,11,63.6,Depurative; Hemostat; Intoxicant; Myalgia; Nightsweats; Rheumatism; Sedative,Diuretic (3); Gonorrhea (1); Cancer (12); Diarrhea (1)
Cymbopogon citratus,7,2,0,9,77.8,Dyspepsia; Emmenagogue; Gingivitis; Ache(Tooth); Sprain; Neuritis; Rheumatism,Diaphoretic (1); Diuretic (3)
Hemigraphis colorata,7,0,0,7,100.0,Dermatosis; Dysentery; Gallstones; Hematochezia; Piles; Diuretic; Metrorrhagia,
Quercus sp.,7,0,0,7,100.0,Apertif; Gastrosis; Leucorrhea; Sapraemia; Sore(Throat); Dermatosis; Fungicide,
Aegle marmelos,7,6,0,13,53.8,Abortifacient; Aftosa; Itch; Piscicide; Proctitis; Sterilizant; Nausea,Diarrhea (17); Constipation (1); Dysentery (12); Dyspepsia (1); Palpitation (1)
Peucedanum japonicum,7,0,0,7,100.0,Fever; Giddiness; Miscarriage; Sapraemia; Parturition; Smallpox; Constipation,
Peltophorum pterocarpum,7,0,0,7,100.0,Collyrium; Dentifrice; Dysentery; Myalgia; Sore; Sprain; Gargle,
Lindernia crustacea,7,0,0,7,100.0,Bilious; Boil; Dysentery; Parturition; Ringworm; Bite(Tick); Sore,
Spondias pinnata,7,0,0,7,100.0,Asthma; Dysmenorrhea; Gonorrhea; Herpes; Scurf; Cough; Sore,
Amaranthus spinosus,7,5,0,12,58.3,Eczema; Lactogogue; Bite(Snake); Boil; Dyspnea; Emmenagogue; Sudorific,Inflammation (2); Tumor (2); Bronchitis (1); Diuretic (1); Fever (1)
Merremia umbellata,7,0,0,7,100.0,Fistula; Hematuria; Scald; Sore; Tumor; Burn; Pustule,
Smilax leucophylla,7,0,0,7,100.0,Depurative; Dysmenorrhea; Rheumatism; Sore; Syphilis; Skin; Rhinosis,
Gardenia augusta,7,0,0,7,100.0,Delirium; Fever; Ache(Head); Jaundice; Mastitis; Pulmonosis; Renosis,
Plumbago indica,7,2,0,9,77.8,Adenopathy; Cough; Ache(Head); Leprosy; Rheumatism; Beriberi; Abortive,Tumor (7); Vermifuge(Veterinary) (2)
Acalypha hispida,7,1,0,8,87.5,Diuretic; Expectorant; Gonorrhea; Hemoptysis; Laxative; Sore; Leprosy,Asthma (1)
Santalum album,7,4,0,11,63.6,Dysentery; Emmenagogue; Enterosis; Ache(Head); Numbness; Bilious; Gonorrhea,Callus (6); Fever (3); Fits (1); Ulcer (1)
Nelumbo nelumbo,7,7,0,14,50.0,Cramps; Dysmenorrhea; Hematoptysis; Spermatorrhea; Syphilis; Dysuria; Nausea,Cholera (2); Diarrhea (7); Diuretic (4); Hematochezia (1); Narcotic (2)
Spatholobus ferrugineus,7,0,0,7,100.0,Cough; Dysmenorrhea; Fever; Parturition; Uterorrhagia; Ache(Stomach); Colic,
