plant,unstudied_count,studied_count,well_studied_count,total_claims,gap_pct,unstudied_diseases,top_studied
Strobilanthes flaccidifolius,4,0,0,4,100.0,Astringent; Cough; Diuretic; Ague,
Aerva sanguinolenta,4,0,0,4,100.0,Dysmenorrhea; Leucorrhea; Pyuria; Hematuria,
Allium ascalonium,4,5,1,9,44.4,Amenorrhea; Ophthalmia; Ache(Head); Vermifuge,Cholera (6); Diarrhea (62); Sore (6); Ache(Stomach) (6); Thrush (1)
Rafflesia patma,4,0,0,4,100.0,Aphrodisiac(Female); Dysmenorrhea; Hemostat; Parturition,
Solanum torvum,4,0,0,4,100.0,Antidote; Cracked feet; Fumitory; Parturition,
Phytocrene blancoi,4,0,0,4,100.0,Puerperium; Pinkeye; Pinworms; Piscicide,
Leptonychia heteroclita,4,0,0,4,100.0,Parturition; Sore; Fever; Rhinosis,
Lycopodium phlegmaria,4,0,0,4,100.0,Gastrosis; Pulmonosis; Emmenagogue; Dropsy,
Limnophila aromatica,4,0,0,4,100.0,Carminative; Fever; Sore; Poultice,
Antiaris toxicaria,4,0,0,4,100.0,Arrow-poison; Cardiopathy; Poison(Arrow); Homicide,
Santiria griffithii,4,0,0,4,100.0,Aphrodisiac; Impotence; Tonic; Rheumatism,
Mallotus macrostachyus,4,0,0,4,100.0,Boil; Circumscission; Wound; Fever,
Durio zibethinus,4,2,0,6,66.7,Jaundice; Parturition; Tonic; Dermatosis,Cancer (5); Fever (1)
Piper nigrum,4,2,0,6,66.7,Cancer(Nose); Colic; Gonorrhea; Ache(Head),Abortifacient (2); Cholera (2)
Poililospermum suaveolens,4,1,0,5,80.0,Pediculicide; Shampoo; Watervine; Ophthalmia,Fever (13)
Nasturtium indicum,4,0,0,4,100.0,Cold; Cystitis?; Bladder; Fever,
Baeckea frutescens,4,0,0,4,100.0,Dysmenorrhea; Fever; Lassitude; Parturition,
Poikilospermum suaveolens,4,0,0,4,100.0,Eye; Numbness; Water; Wound,
Dracaena porteri,4,0,0,4,100.0,Anodyne; Rheumatism; Sore; Vermifuge,
Hibiscus tiliaceus,4,1,0,5,80.0,Boil; Bronchitis; Cough; Fever,Swelling (1)
Borassus flabellifera,4,0,0,4,100.0,Diuretic; Dysentery; Hemoptysis; Tuberculosis,
Litsea luzonica,4,0,0,4,100.0,Anodyne; Waist; Boil; Wound,
Foeniculum vulgare,4,1,0,5,80.0,Dermatosis; Hepatosis; Abdomen; Gastralgia,Rheumatism (1)
Psychotria viridiflora,4,0,0,4,100.0,Dermatosis; Female; Bite(Snake); Bugbite,
Maesa ramentacea,4,0,0,4,100.0,Angina?; Dermatosis; Itch; Skin,
Daemonorops sp.,4,0,0,4,100.0,Dyspepsia; Maculitis; Sprue; Ache(Stomach),
Hyptis brevipes,4,0,0,4,100.0,Ache(Head); Parturition; Puerperium; Vermifuge,
Eurya japonica,4,1,0,5,80.0,Dermatosis; Parturition; Pustules; Eruption,Skin (1)
Trevesia cheirantha,4,1,0,5,80.0,Sore; Fever; Fracture; Ague,Rheumatism (1)
Derris cebuensis,4,0,0,4,100.0,Anodyne; Internal; Stomach; Piscicide,
Alocasia indica,4,0,0,4,100.0,Bite(Snake); Tumor; Laxative; Sore,
Premna tomentosa,4,0,0,4,100.0,Ache(Stomach); Vermifuge; Diarrhea; Parturition,
Cassia nodosa,4,0,0,4,100.0,Boil; Itch; Purgative; Fever,
Solanum indicum,4,0,0,4,100.0,Diuretic; Rhinosis; Sore; Ache(Tooth),
Wikstroemia ridleyi,4,0,0,4,100.0,Aperient; Nausea; Smallpox; Boil,
Macaranga hypoleuca,4,0,0,4,100.0,Antispasmodic; Expectorant; Fever; Spasm,
Coscinium blumeanum,4,0,0,4,100.0,Prickly heat; Sore; Wound; Piscicide,
Pycnarrhena manilensis,4,0,0,4,100.0,Bite(Snake); Cicatrizant; Tonic; Vulnerary,
Eupatorium triplinerve,4,0,0,4,100.0,Bronchosis; Diarrhea; Sudorific; Sore,
Phyllanthus frondosus,4,0,0,4,100.0,Diaphoretic; Fever; Diuretic; Parturition,
Willughbeia sp.,4,0,0,4,100.0,Jaundice; Malaria; Heartburn; Hysteria,
Cinnamomum sintok,4,0,0,4,100.0,Bugbite; Diarrhea; Numbness; Vermifuge,
Voacanga foetida,4,0,0,4,100.0,Pustule; Skin; Tumor; Fistula,
Tetracera macrophylla,4,0,0,4,100.0,Sore; Syphilis; Thrush; Watervine,
Triphasia trifolia,4,0,0,4,100.0,Colic; Cosmetic; Dermatosis; Diarrhea,
Artemisia vulgaris,4,1,0,5,80.0,Dermatosis; Emmenagogue; Scurf; Fumitory (Opium substitute),Colic (1)
Ardisia colorata,4,0,0,4,100.0,Cough; Diarrhea; Fever; Rheumatism,
Pisonia alba,4,0,0,4,100.0,Boil; Corn; Edema; Swelling,
Cardiospermum halicacabum,4,0,0,4,100.0,Bladder; Buboes; Conjunctivitis; Anodyne,
Helicteres isora,4,0,0,4,100.0,Aphrodisiac; Ache(Stomach); Parturition; Tonic,
Cassia alata,4,4,0,8,50.0,Herpes; Larvicide; Syphilis; Itch,Constipation (1); Ringworm (2); Skin (16); Scabies (1)
Ehretia philippensis,4,0,0,4,100.0,Dysentery; Tenesmus; Hematochezia; Diarrhea,
Globba panicoides,4,0,0,4,100.0,Fever; Rheumatism; Gonorrhea; Parturition,
Erythrina indica,4,1,0,5,80.0,Emmenagogue; Hematochezia; Lactagogue; Abscess,Sedative (3)
Zingiber ottensii,4,0,0,4,100.0,Convulsion; Cramps; Parturition; Sedative,
Melia dubia,4,0,0,4,100.0,Fever; Internal; Vermifuge; Anodyne,
Cyperus esculentus,4,0,0,4,100.0,Anodyne; Dysuria; Rhinosis; Sore,
Zanthoxylum avicennae,4,0,0,4,100.0,Bite(Snake); Antidote; Stomachic; Tonic,
Euphorbia pilulifera,4,0,0,4,100.0,Poison; Tattoo; Tumor; Eye,
Averrhoa carambola,4,4,0,8,50.0,Bilious; Chickenpox; Dermatosis; Ache(Head),Diarrhea (1); Hangover (1); Nausea (2); Ringworm (1)
Symplocos odoratissima,3,0,0,3,100.0,Parturition; Thrush; Aphthae,
Senecio scandens,3,0,0,3,100.0,Eye; Jaundice; Emetic,
Clerodendrum disparifolium,3,0,0,3,100.0,Constipation; Tonic; Ache(Tooth),
Cratoxylon cochinchinense,3,0,0,3,100.0,Dermatosis; Ache(Stomach); Itch,
Trichosanthes anguina,3,0,0,3,100.0,Emetic; Purgative; Vermifuge,
Jatropha gossypifolia,3,0,0,3,100.0,Candlenut; Leprosy; Purgative,
Fagraea blumei,3,0,0,3,100.0,Birdlime; Fever; Ache(Head),
Cratoxylon ligustrinum,3,0,0,3,100.0,Fever; Parturition; Toothblack,
Abelmoschus moschatus,3,1,0,4,75.0,Boil; Stomach; Hysteria,Cancer (1)
Eugenia malaccensis,3,0,0,3,100.0,Glossitis; Itch; Thrush,
Orchidantha longiflora,3,0,0,3,100.0,Ache(Back); Ache(Chest); Anodyne,
Melothria indica,3,0,0,3,100.0,Ophthalmia; Sore; Thrush,
Rhodamnia trinervia,3,0,0,3,100.0,Ache(Stomach); Parturition; Scald,
Macaranga triloba,3,0,0,3,100.0,Boil; Ache(Stomach); Abdomen,
Annona squamosa,3,0,0,3,100.0,Boil; Itch; Pediculicide,
Alpinia galanga,3,0,0,3,100.0,Parturition; Ringworm; Splenomegaly,
Myristica fatua,3,0,0,3,100.0,Aphrodisiac; Ache(Head); Hematochezia,
Achyranthes aspera,3,4,0,7,42.9,Cataract; Convulsion; Hematochezia,Dysentery (5); Ophthalmia (1); Cough (5); Diuretic (3)
Stereospermum fimbriatum,3,1,0,4,75.0,Itch; Dermatosis; Parturition,Earache (2)
Flemingia strobilifera,3,0,0,3,100.0,Parturition; Rheumatism; Vermifuge,
Capparis micracantha,3,0,0,3,100.0,Diuretic; Swelling; Vertigo,
Lygodium flexuosum,3,0,0,3,100.0,Fever; Ringworm; Dermatosis,
Indigofera sp.,3,0,0,3,100.0,Ache(Tooth); Yaws; Fever,
Pellacalyx sp.,3,0,0,3,100.0,Anodyne; Internal; Yaws,
Piper baccatum,3,0,0,3,100.0,Tonic; Venereal; Cough,
Connarus grandis,3,0,0,3,100.0,Asthma; Chest; Bronchitis,
Canthium horridum,3,0,0,3,100.0,Ophthalmia; Wound; Fever,
Peperomia pellucida,3,1,0,4,75.0,Abdomen; Ache(Head); Anodyne,Fever (1)
Capsicum sp.,3,1,0,4,75.0,Diarrhea; Dyspepsia; Cholera,Counterirritant (1)
Melia azederach,3,0,0,3,100.0,Itch; Piscicide; Vermifuge,
Capparis acuminata,3,0,0,3,100.0,Giddiness; Ache(Stomach); Bilious,
Hedychium coronarium,3,2,0,5,60.0,Sore(Throat); Tonsillitis; Gargle,Swelling (1); Tumor (12)
Heynea trijuga,3,0,0,3,100.0,Stupefacient; Cholera; Ranicide,
Gomphostemma crinitum,3,0,0,3,100.0,Groin; Parturition; Swelling,
Polyscias fruticosa,3,0,0,3,100.0,Dysuria; Gravel; Stone,
Lophopyxis pierrei,3,1,0,4,75.0,Sore; Sting(Fish); Poultice,Wound (1)
Uncaria ferrea,3,0,0,3,100.0,Wound; Enterosis; Sore,
Polygonum pubescens,3,0,0,3,100.0,Emmenagogue?; Hemostat; Abortive?,
Jatropha multifida,3,2,0,5,60.0,Dyspepsia; Colic; Piscicide,Purgative (1); Tonic (1)
Geophila herbacea,3,0,0,3,100.0,Diarrhea; Leg; Sore,
Helicia artocarpoides,3,0,0,3,100.0,Jaw; Sore; Eye,
Coleus blumei,3,0,0,3,100.0,Cachexia; Dyspepsia; Ophthalmia,
Platycerium bifurcatum,3,0,0,3,100.0,Abdomen; Fever; Swelling,
Rourea minor,3,0,0,3,100.0,Kidneystone?; Poison; Waist,
Grewia paniculata,3,2,0,5,60.0,Ache(Stomach); Abdomen; Itch,Diarrhea (1); Fever (1)
Amaryllis belladonna,3,0,0,3,100.0,Contusion; Neck; Swelling,
Liparis treubii,3,0,0,3,100.0,Constipation; Gastromegaly; Nausea,
Hibiscus syriacus,3,0,0,3,100.0,Dermatosis; Diuretic; Itch,
Laportea stimulans,3,0,0,3,100.0,Abscess; Cough; Urticant,
Dichroa febrifuga,3,1,0,4,75.0,Abdomen; Anodyne; Vermifuge,Fever (3)
Lumnitzera sexangula,3,0,0,3,100.0,Conjunctivitis; Burn; Shingles,
Zanthoxylum myriacanthum,3,0,0,3,100.0,Rhinosis; Sore; Syphilis,
Languas conchigera,3,0,0,3,100.0,Parturition; Rheumatism; Ostealgia,
Garcinia mangostana,3,3,1,6,50.0,Catarrh; Circumscission; Astringent,Fever (4); Intestine (4); Wound (31)
Ardisia villosa,3,0,0,3,100.0,Fever; Rheumatism; Diarrhea,
Stephania hernandiifolia,3,1,0,4,75.0,Abdomen; Anodyne; Enterosis,Fever (17)
Calamus ornatus,3,0,0,3,100.0,Parturition; Yaws; Anodyne,
Lasia spinosa,3,2,0,5,60.0,Parturition; Anodyne; Colic,Ache(Stomach) (1); Cough (1)
Scaevola taccada,3,0,0,3,100.0,Beri-Beri; Cataract; Syphilis,
Hippeastrum equestre,3,0,0,3,100.0,Bruise; Parotitis; Swelling,
Hydnophytum formicarium,3,0,0,3,100.0,Ache(Head); Intestine; Hepatitis,
Dianella javanica,3,0,0,3,100.0,Anodyne; Impotence; Abdomen,
Ardisia odontophylla,3,0,0,3,100.0,Diarrhea; Fever; Rheumatism,
Guettarda speciosa,3,1,0,4,75.0,Dysentery; Wound; Abscess,Sore (1)
Mussaenda glabra,3,0,0,3,100.0,Cough; Enterosis; Ophthalmia,
Kopsia sp.,3,0,0,3,100.0,Rhinosis; Sore; Syphilis,
Champereia manillana,3,0,0,3,100.0,Splenomegaly; Ache(Head); Ache(Stomach),
Micromelum minutum,3,0,0,3,100.0,Ague; Cough; Fever,
Leptospermum flavescens,3,1,0,4,75.0,Dysmenorrhea; Fever; Apertif,Constipation (1)
Smilax myosotiflora,3,0,0,3,100.0,Aphrodisiac; Fever; Syphilis,
Sansevieria trifasciata,3,0,0,3,100.0,Baldness; Itch; Earache,
Scaphium affine,3,1,0,4,75.0,Dysentery; Fever; Sprue,Cough (1)
Sarcolobus spanoghei,3,0,0,3,100.0,Felicide; Poison; Canicide,
Barringtonia macrostachya,3,0,0,3,100.0,Conjunctivitis; Ache(Stomach); Ringworm,
Uncaria tonkinensis,3,0,0,3,100.0,Depurative; Fever; Masticatory,
Alocasia wenzelii,3,0,0,3,100.0,Itch; Scorpion; Centipede,
Desmodium heterocarpum,3,0,0,3,100.0,Cough; Mastitis; Philter,
Ipomoea pes-tigridis,3,0,0,3,100.0,Pimple; Sore; Boil,
Aloe vera,3,8,2,11,27.3,Aperient; Gonorrhea; Ache(Head),Alopecia (3); Burn (96); Chest (8); Congestion (2); Swelling (74)
Clerodendrum fragrans,3,0,0,3,100.0,Ague; Dermatosis; Rheumatism,
Nicolaia speciosa,3,0,0,3,100.0,Deodorant; Earache; Wound,
Pancratium zeylanicum,3,0,0,3,100.0,Deafness; Fever; Inflammation,
Meliosma philippensis,3,0,0,3,100.0,Itch; Skin; Wound,
Actinodaphne moluccana,3,0,0,3,100.0,Boil; Wound; Splinter,
Ardisia solanacea,3,0,0,3,100.0,Diarrhea; Fever; Rheumatism,
Baccaurea motleyana,3,0,0,3,100.0,Conjunctivitis; Ophthalmia; Parturition,
Gouania tiliaefolia,3,0,0,3,100.0,Deafness; Skin; Soap,
Rinorea kunstleriana,3,0,0,3,100.0,Rhinosis; Syphilis; Sore,
Hibiscus esculentus,3,0,0,3,100.0,Dysuria; Gonorrhea; Syphilis,
Uvaria grandiflora,3,0,0,3,100.0,Cough; Flatulence; Sudorific,
Aquilaria sp.,3,0,0,3,100.0,Parturition; Palpitation; Smallpox,
Euphorbia antiquorum,3,0,0,3,100.0,Piscicide; Wart; Poison,
Melaleuca leucadendron,3,1,0,4,75.0,Rheumatism; Sore(Throat); Neuralgia,Infection (1)
Salacca wallichiana,3,0,0,3,100.0,Ache(Head); Anodyne; Arthritis,
Garcinia atroviridis,3,0,0,3,100.0,Ache(Ear); Parturition; Earache,
Citrus medica,3,2,0,5,60.0,Aperient; Ache(Head); Insanity,Arthritis (1); Ache(Stomach) (2)
Aralidium pinnatifidum,3,0,0,3,100.0,Boil; Fever; Rheumatism,
Combretum sundaicum,3,0,0,3,100.0,Boil; Ache(Head); Morphinism (Opiumism),
Evodia roxburghiana,3,0,0,3,100.0,Emmenagogue; Fever(Remittent); Tonic,
Houttuynia cordata,3,0,0,3,100.0,Refrigerant; Emmenagogue; Resolvent,
Salix tetrasperma,3,0,0,3,100.0,Fever; Rhinosis; Sore,
Pothos scandens,3,1,0,4,75.0,Convulsion; Smallpox; Vermifuge,Asthma (1)
Stemona moluccana,3,0,0,3,100.0,Polyp(Abdomen); Uterosis; Polyps,
Hygrophila salicifolia,3,0,0,3,100.0,Ache(Head); Fever; Swelling,
Alternanthera sessilis,3,2,0,5,60.0,Beriberi; Enterosis; Hematochezia,Wound (6); Fever (1)
Amomum kepulaga,3,3,0,6,50.0,Halitosis; Hepatosis; Insanity,Rheumatism (1); Cough (1); Cold (4)
Paspalum scrobiculatum,3,0,0,3,100.0,Alterative; Ophthalmia; Parturition,
Ehretia navesii,3,3,1,6,50.0,Athlete's-Foot; Piscicide; Anodyne,Internal (33); Ringworm (3); Cough (9)
Ixora lobbii,3,0,0,3,100.0,Ache(Head); Parturition; Puerperium,
Peristrophe acuminata,3,0,0,3,100.0,Smallpox; Bite(Snake); Wound,
Solanum melongena,3,0,0,3,100.0,Piles; Rhinosis; Sore,
Abutilon indicum,3,3,0,6,50.0,Sore; Wound; Rheumatism,Demulcent (1); Ulcer (1); Fever (2)
Trema orientalis,3,0,0,3,100.0,Diarrhea; Hematuria; Parturition,
Vitis cinnamomea,3,0,0,3,100.0,Edema; Sore; Cholera,
Thunbergia laurifolia,3,1,0,4,75.0,Boil; Deafness; Menorrhagia,Wound (2)
Neptunia prostrata,3,0,0,3,100.0,Earache; Fever; Syphilis,
Cuminum cyminum,3,0,0,3,100.0,Dermatosis; Enterosis; Puerperium,
Bauhinia fulva,3,0,0,3,100.0,Cough; Diarrhea; Fever,
Mallotus paniculatus,3,2,0,5,60.0,Ache(Head); Malaria; Parturition,Fever (1); Wound (1)
Shorea harmandii,3,0,0,3,100.0,Astringent; Dysentery; Fungicide,
Kyllinga brevifolia,3,0,0,3,100.0,Diarrhea; Leg; Sore,
Shorea sumatrana,3,0,0,3,100.0,Sprue; Thrush; Oilseed,
Ilex wallichii,3,0,0,3,100.0,Depurative; Tonic; Febrifuge,
Synedrella nodiflora,3,2,0,5,60.0,Ache(Head); Parturition; Ache(Stomach),Earache (1); Rheumatism (2)
Cassia fistula,3,2,0,5,60.0,Carbuncle; Dermatosis; Herpes,Purgative (1); Wound (10)
Derris malaccensis,3,0,0,3,100.0,Insecticide; Piscicide; Larvicide,
Psychotria sp,3,0,0,3,100.0,Eruption; Puerperium; Skin,
Thevetia peruviana,3,0,0,3,100.0,Fever; Piscicide; Malaria,
Dalbergia parviflora,3,0,0,3,100.0,Parturition; Sore; Tonic,
Heliciopsis artocarpoides,3,0,0,3,100.0,Ophthalmia; Yaws; Sore,
Ehretia microphylla,3,0,0,3,100.0,Cough; Fever; Stomach,
Achyranthes nodiflora,3,0,0,3,100.0,Gray hair; Ache(Head); Fever,
Vitis lanceolaria,3,0,0,3,100.0,Ague; Cough; Boil,
Rourea floridum,3,0,0,3,100.0,Fever; Parturition; Thrush,
Neonauclea formicaria,3,0,0,3,100.0,Malaria; Puerperium; Rheumatism,
Podocarpus sp.,3,0,0,3,100.0,Anodyne; Arthritis; Rheumatism,
Ixora macrophylla,3,0,0,3,100.0,Ache(Head); Puerperium; Abdomen,
Homalomena coerulescens,3,0,0,3,100.0,Colic; Fever; Sore,
Reissantia indica,3,0,0,3,100.0,Parturition; Rheumatism; Fever,
Artocarpus communis,3,0,0,3,100.0,Ache(Tooth); Dermatosis; Splenomegaly,
Villebrunea rubescens,3,0,0,3,100.0,Dysuria; Smallpox; Conjunctivitis,
Apama tomentosa,3,0,0,3,100.0,Diuretic; Bite(Snake); Bugbite,
Cerbera manghas,3,0,0,3,100.0,Cold; Piscicide; Rheumatism,
Clerodendrum inerme,3,0,0,3,100.0,Dysentery; Fever; Poultice,
Actinorhytis calapparia,3,0,0,3,100.0,Itch; Scabies; Scurf,
Ardisia crispa,3,2,0,5,60.0,Cough; Diarrhea; Earache,Fever (1); Rheumatism (3)
Pleomele angustifolia,3,0,0,3,100.0,Beriberi; Gonorrhea; Stomach,
Trigonostemon longifolius,3,0,0,3,100.0,Jellyfish-sting; Bee-sting; Fever,
Leea gigantea,3,0,0,3,100.0,Fever; Ache(Stomach); Wound,
Parameria barbata,3,0,0,3,100.0,Dysentery; Uteromegaly; Wound,
Acalypha siamensis,3,0,0,3,100.0,Bowel; Fever; Renosis,
Kyllingia monocephala,3,0,0,3,100.0,Diarrhea; Measles; Onychiosis,
Litchi chinensis,3,1,0,4,75.0,Anodyne; Orchitis; Neuralgia,Intestine (2)
Embelia ribes,3,0,0,3,100.0,Cough; Diarrhea; Vermifuge?,
Agelaea trinervis,3,0,0,3,100.0,Aphrodisiac; Rheumatism; Ache(Stomach),
Macaranga grandifolia,3,0,0,3,100.0,Gargle; Stomatitis; Astringent,
Rheum officinale,3,2,0,5,60.0,Fumitory; Tonic; Freckles,Cosmetic (2); Purgative (2)
Manilkara elengi,3,0,0,3,100.0,Fever; Mouthwash; Tonic,
Macaranga populifolia,3,0,0,3,100.0,Dropsy; Fever; Malaria,
Apostasia nuda,3,0,0,3,100.0,Diarrhea; Hydrophobia; Ophthalmia,
Bambusa vulgaris,3,0,0,3,100.0,Hepatosis; Jaundice; Tumor,
Vanilla griffithii,3,0,0,3,100.0,Cosmetic; Fever; Hair-Tonic,
Polycarpon prostratum,3,0,0,3,100.0,Cough; Fever; Measles,
Clerodendrum intermedium,3,0,0,3,100.0,Ache(Head); Stomach; Intestine,
Hedyotis verticillata,3,0,0,3,100.0,Dysentery; Ache(Stomach); Ache(Head),
Mikania scandens,3,0,0,3,100.0,Circumscission; Itch; Wound,
Ageratum conyzoides,3,3,0,6,50.0,Poultice; Boil; Vulnerary,Fever (5); Wound (13); Dysentery (1)
Voacanga sp,3,0,0,3,100.0,Anodyne; Internal; Abdomen,
Sarcolobus globosus,3,0,0,3,100.0,Dengue?; Fever; Rheumatism,
Luvunga sarmentosa,3,0,0,3,100.0,Ostealgia; Rheumatism; Ache(Tooth),
Dysoxylum cauliflorum,3,0,0,3,100.0,Rheumatism; Enterosis; Poison,
Sapium indicum,3,0,0,3,100.0,Piscicide; Fever; Gonorrhea,
Grewia umbellata,3,0,0,3,100.0,Tonic; Fever; Aphrodisiac,
Brassica juncea,3,0,0,3,100.0,Ache(Head); Syphilis; Emmenagogue,
Rhinacanthus nasutus,3,2,0,5,60.0,Dermatosis; Dhobi Itch; Prickly heat,Scurf (1); Ringworm (3)
Cycas circinalis,3,1,0,4,75.0,Flatulence; Hematemesis; Narcotic (Pollen),Swelling (1)
Scleria pergracilis,3,0,0,3,100.0,Cough; Parturition; Aftosa,
Flagellaria indica,3,0,0,3,100.0,Pox; Shampoo; Wound,
Illicium verum,3,2,0,5,60.0,Constipation; Emmenagogue; Parturition,Insomnia (1); Colic (11)
Didymocarpus reptans,3,0,0,3,100.0,Colic; Constipation; Dysentery,
Psychotria stipulacea,3,0,0,3,100.0,Dermatosis; Swelling; Fever,
Adenostemma lavenia,3,1,0,4,75.0,Fever; Ache(Head); Poultice,Diarrhea (1)
Michelia alba,3,0,0,3,100.0,Malaria; Miscarriage; Sapraemia,
Cinnamomum pauciflorum,3,0,0,3,100.0,Cardiotonic; Stomachic; Antiseptic,
Glycosmis cochinchinensis,3,0,0,3,100.0,Abdomen; Splenomegaly; Gall,
Drymaria cordata,3,1,0,4,75.0,Boil; Poultice; Laxative,Fever (2)
Blumea myriocephala,3,0,0,3,100.0,Bronchitis; Cataplasm; Rheumatism,
Nepenthes sp.,3,0,0,3,100.0,Enuresis; Ache(Stomach); Incontinence,
Allophylus sp,3,0,0,3,100.0,Abdomen; Burn; Sore,
Vitis mollissima,3,0,0,3,100.0,Anodyne; Swelling; Labor,
Rorippa dufia,3,0,0,3,100.0,Diuretic; Scurvy; Stimulant,
Psychotria montana,3,0,0,3,100.0,Fever; Sore; Splenomegaly,
Salacia prinoides,3,0,0,3,100.0,Amenorrhea; Dysmenorrhea; Abortifacient,
Croton caudatum,3,0,0,3,100.0,Cold; Fever; Purgative,
Breynia cernua,3,0,0,3,100.0,Leg; Salve; Swelling,
Decaspermum fruticosum,3,0,0,3,100.0,Gingivosis; Pyrorrhea?; Dysentery,
Liquidambar orientale,3,0,0,3,100.0,Wound; Mucus-Mover; Rheumatism,
Citrus maxima,3,0,0,3,100.0,Sore; Swelling; Anodyne,
Oryza sativas,3,1,0,4,75.0,Ophthalmia; Sapraemia; Carbuncle,Diarrhea (7)
Hedychium longecornutum,3,0,0,3,100.0,Earache; Syphilis; Vermifuge,
Hippocratea indica,3,0,0,3,100.0,Parturition; Rheumatism; Tonic,
Ananas comosus,3,1,0,4,75.0,Diphtheria; Emmenagogue; Vermifuge,Abortifacient (5)
Desmos chinensis,3,0,0,3,100.0,Dysentery; Parturition; Vertigo,
Ervatamia cylindrocarpa,3,0,0,3,100.0,Beriberi; Itch; Eczema,
Selaginella atroviridis,3,0,0,3,100.0,Asthma; Buboes; Rheumatism,
Clitorea ternatea,3,0,0,3,100.0,Arthritis; Conjunctivitis; Cathartic,
Roureopsis pubinervis,3,0,0,3,100.0,Ague; Anodyne; Fever,
Biophytum reinwardtii,3,0,0,3,100.0,Smallpox; Dermatosis; Rash,
Cordia dichotoma,3,1,0,4,75.0,Tumor(Breast); Dysentery; Dyspepsia,Fever (1)
Solanum nigrum,3,1,1,4,75.0,Dropsy; Leucoderma; Yaws,Cancer (117)
Hodgsonia capniocarpa,3,0,0,3,100.0,Mastalgia; Rhinosis; Sore,
Terminalia bellirica,3,0,0,3,100.0,Parturition; Narcotic; Astringent,
Rhodomyrtus tomentosa,3,2,0,5,60.0,Corneosis; Parturition; Ache(Stomach),Dysentery (5); Wound (7)
Memecylon dichotomum,3,0,0,3,100.0,Parturition; Rheumatism; Vertigo,
Angiopteris evecta,3,0,0,3,100.0,Deobstruent; Cough; Hemostat,
Loranthus ferrugineus,3,1,0,4,75.0,Malaria; Parturition; Bite(Snake),Wound (1)
Rubus rosaefolius,3,0,0,3,100.0,Hematemesis; Fever; Enuresis,
Salacca conferta,3,0,0,3,100.0,Antidote(Antiaris); Cough; Hoarseness,
Luffa acutangula,3,0,0,3,100.0,Amenorrhea; Parturition; Uremia,
Vigna radiata,3,0,0,3,100.0,Beri-Beri; Diuretic; Vertigo,
Cassia obtusifolia,3,2,0,5,60.0,Nausea; Parturition; Ache(Stomach),Constipation (10); Purgative (1)
Dalbergia tamarindifolia,3,1,0,4,75.0,Itch; Nerves; Varices,Cough (2)
